2023-01-04 11:06:41 TAI ###______#|###############|###############|##########
2023-01-04 11:06:42 TAI ###_______|___############|###############|##########
2023-01-04 11:06:43 TAI ###_______|_______#_______|____######_####|##########
2023-01-04 11:06:44 TAI ######__##|_____#####_____|_##############|##########
2023-01-04 11:06:45 TAI #________#|###############|###############|#########_
2023-01-04 11:06:46 TAI ####_#___#|_____#_________|_______________|_#########
2023-01-04 11:06:47 TAI ####______|_##############|###############|##########
2023-01-04 11:06:48 TAI ##______#_|__#############|###############|##########
2023-01-04 11:06:49 TAI ##________|__#############|###############|##########
2023-01-04 11:06:50 TAI ##________|_______________|__#############|##########
2023-01-04 11:06:51 TAI ####______|__#############|###############|##########
2023-01-04 11:06:52 TAI ######____|__#############|###############|##########
2023-01-04 11:06:53 TAI ###_______|__#############|###############|##########
2023-01-04 11:06:54 TAI ###_______|_####_#########|###############|##########
2023-01-04 11:06:55 TAI ###_____##|#__________#___|__#############|##########
2023-01-04 11:06:56 TAI ##________|_______#_______|___####__#___##|#_########
2023-01-04 11:06:57 TAI ##________|___############|###############|##########
2023-01-04 11:06:58 TAI ###______#|##########_####|###############|##########
2023-01-04 11:06:59 TAI ####______|__#############|###############|##########
2023-01-04 11:07:00 TAI ###_______|__#############|###############|##########
2023-01-04 11:07:01 TAI ###_______|____###########|###############|#######_##
2023-01-04 11:07:02 TAI ##___##___|_##############|###############|##########
2023-01-04 11:07:03 TAI ###_______|__#############|###############|##########
2023-01-04 11:07:04 TAI ###_______|_##############|###############|##########
2023-01-04 11:07:05 TAI ##______##|__#############|###############|##########
2023-01-04 11:07:06 TAI #####_____|__#____________|_____##____#_#_|__########
2023-01-04 11:07:07 TAI ####______|__#############|###############|##########
2023-01-04 11:07:08 TAI ###____###|_______________|__#############|##########
2023-01-04 11:07:09 TAI ##________|__#############|###############|##########
2023-01-04 11:07:10 TAI ##_##_____|____###########|###############|##########
2023-01-04 11:07:11 TAI #_________|__#############|###############|_#########
2023-01-04 11:07:12 TAI ##________|_##############|###############|##########
2023-01-04 11:07:13 TAI ###_______|_______________|__#############|##########
